Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Elapidae,Naja nivea,LDLo,IV,0.00014,Rabbit
Elapidae,Naja nivea,LDLo,SC,0.00015,Rabbit
Elapidae,Naja nivea,LDLo,SC,0.0002,Guinea Pig
Elapidae,Bungarus multicinctus,LD50,IM,0.00031,Bird
Elapidae,Naja nivea,LDLo,SC,0.0005,Rat
Elapidae,Naja nivea,LDLo,PA,0.0006,Frog
Viperidae,Crotalus durissus,LD50,IC,0.00074,Mouse
Elapidae,Bungarus multicinctus,LD50,IM,0.00078,Pigeon
Viperidae,Vipera ammodytes,LD50,PA,0.00085,Rat
Elapidae,Bungarus multicinctus,LD50,IM,0.00095,Chicken
Elapidae,Bungarus multicinctus,LD50,unknown,0.00095,Chicken
Elapidae,Pseudonaja textilis,LD50,IV,0.001,Mouse
Elapidae,Notechis scutatus,LDLo,IV,0.001,Rabbit
Elapidae,Naja nivea,LDLo,IV,0.0015,Cat
Elapidae,Bungarus multicinctus,LDLo,unknown,0.0025,Pigeon
Elapidae,Naja nivea,LDLo,SC,0.0035,Cat
Colubridae,Dispholidus typus,LDLo,IV,0.005,Rabbit
Viperidae,Bothrops atrox,LDLo,IV,0.005,Rabbit
Viperidae,Crotalus horridus,LD50,IM,0.006,Mouse
Elapidae,Bungarus caeruleus,LD50,IP,0.008,Mouse
Viperidae,Crotalus durissus,LD50,IV,0.0086,Pigeon
Viperidae,Crotalus mitchellii,LDLo,IV,0.0086,Pigeon
Elapidae,Oxyuranus scutellatus,LD50,IP,0.009,Mouse
Elapidae,Oxyuranus microlepidotus,LD50,SC,0.01,Mouse
Elapidae,Laticauda semifasciata,LDLo,IV,0.01,Dog
Elapidae,Notechis scutatus,LD50,IV,0.01,Mouse
Viperidae,Daboia russelii,LD50,IM,0.01,Mouse
Viperidae,Macrovipera lebetinus,LD50,IM,0.01,Mouse
Viperidae,Vipera ammodytes,LD50,IV,0.01,Mouse
Viperidae,Vipera berus,LD50,IV,0.01,Mouse
Elapidae,Hydrophis schistosus,LD50,unknown,0.01,Mouse
Viperidae,Crotalus tigris,LD50,IV,0.011,Pigeon
Elapidae,Oxyuranus scutellatus,LDLo,IV,0.012,Mouse
Viperidae,Calloselasma rhodostoma,LDLo,IV,0.013,Rabbit
Elapidae,Micrurus frontalis,LD50,IC,0.015,Mouse
Elapidae,Bungarus multicinctus,LD50,IP,0.019,Mouse
Elapidae,Notechis scutatus,LDLo,SC,0.02,Guinea Pig
Viperidae,Crotalus scutulatus,LD50,IV,0.02,Pigeon
Viperidae,Daboia russelii,LD50,IC,0.0205,Mouse
Elapidae,Oxyuranus microlepidotus,LD50,IP,0.0225,Mouse
Viperidae,Agkistrodon contortrix,LD50,IM,0.024,Mouse
Elapidae,Austrelaps labialis,LDLo,SC,0.025,Guinea Pig
Elapidae,Austrelaps ramsayi,LDLo,SC,0.025,Mouse
Elapidae,Oxyuranus scutellatus,LDLo,SC,0.025,Guinea Pig
Elapidae,Bungarus multicinctus,LDLo,unknown,0.025,Dog
Elapidae,Bungarus multicinctus,LDLo,unknown,0.025,Rabbit
Viperidae,Daboia russelii,LDLo,IV,0.025,Rabbit
Elapidae,Naja atra,LDLo,SC,0.025,Cat
Elapidae,Naja naja,LDLo,IV,0.025,Rabbit
Elapidae,Naja naja,LDLo,IC,0.025,Rat
Elapidae,Naja haje,LD50,IM,0.025,Rat
Elapidae,Naja haje,LD50,IP,0.025,Rat
Viperidae,Crotalus lepidus,LD50,IV,0.029,Pigeon
Elapidae,Walterinnesia aegyptia,LDLo,IM,0.03,Dog
Elapidae,Naja nigricollis,LD50,IV,0.03,Mouse
Viperidae,Crotalus scutulatus,LD50,IV,0.03,Mouse
Elapidae,Aipysurus duboisii,LD50,SC,0.032,Mouse
Colubridae,Dispholidus typus,LDLo,SC,0.033,Pigeon
Colubridae,Dispholidus typus,LDLo,IM,0.033,Pigeon
Viperidae,Daboia russelii,LD50,IV,0.035,Mouse
Elapidae,Bungarus caeruleus,LD50,IV,0.04,Mouse
Elapidae,Pseudonaja textilis,LDLo,SC,0.04,Guinea Pig
Elapidae,Notechis scutatus,LD50,IP,0.04,Mammal
Elapidae,Bungarus candidus,LD50,IV,0.04,Mouse
Elapidae,Bungarus caeruleus,LDLo,IV,0.04,Rabbit
Elapidae,Naja atra,LDLo,SC,0.04,Frog
Elapidae,Pseudonaja textilis,LD50,SC,0.041,Mouse
Viperidae,Bothrops taeniatus,LD50,IC,0.045,Mouse
Elapidae,Dendroaspis viridis,LD50,unknown,0.045,Mouse
Viperidae,Crotalus concolor,LD50,IV,0.045,Mouse
Viperidae,Crotalus durissus,LD50,IV,0.047,Mouse
Viperidae,Crotalus durissus,LD50,SC,0.0478,Mouse
